l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,000021.SZ,深科技,19940202,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600130.SH,波导股份,20000706,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600363.SH,联创光电,20220729,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002475.SZ,立讯精密,20100914,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002241.SZ,歌尔股份,20080505,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300136.SZ,信维通信,20101025,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300115.SZ,长盈精密,20100901,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002402.SZ,和而泰,20100511,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300279.SZ,和晶科技,20110119,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002139.SZ,拓邦股份,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300322.SZ,硕贝德,20120528,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002655.SZ,共达电声,20120109,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,601231.SH,环旭电子,20120109,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300433.SZ,蓝思科技,20150109,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,301135.SZ,瑞德智能,20220325,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300543.SZ,朗科智能,20160907,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,301280.SZ,珠城科技,20221202,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002045.SZ,国光电器,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002055.SZ,得润电子,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,301123.SZ,奕东电子,20220107,,Y
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002351.SZ,漫步者,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002600.SZ,领益智造,20180713,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002369.SZ,卓翼科技,20110110,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002881.SZ,美格智能,20170605,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603380.SH,易德龙,20170605,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300647.SZ,超频三,20170419,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002855.SZ,捷荣技术,20170301,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002861.SZ,瀛通通讯,20170330,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300686.SZ,智动力,20170726,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300679.SZ,电连技术,20170726,,Y
